time	raw
191701	-14
191701	-3
191701	-10
191701	-34
191701	-51
191701	-51
191701	-41
191701	-24
191701	-10
191701	-14
191701	-33
191701	-33
191701	-17
191701	8
191701	29
191701	34
191701	29
191701	25
191701	22
191701	18
191701	9
191701	6
191701	11
191701	33
191701	54
191701	56
191701	42
191701	35
191701	49
191701	60
191701	59
191701	56
191701	57
191702	69
191702	83
191702	91
191702	91
191702	91
191702	97
191702	102
191702	104
191702	101
191702	96
191802	92
191802	93
191802	100
191802	108
191802	119
191802	133
191802	139
191802	147
191802	149
191802	140
191802	122
191802	112
191802	108
191802	105
191802	100
191802	90
191802	91
191802	106
191802	113
191802	97
191802	77
191802	64
191802	49
191802	37
191802	37
191802	39
191802	34
191802	23
191802	9
191802	1
191802	-6
191802	-18
191802	-38
191802	-53
191802	-51
191802	-42
191802	-45
191802	-59
191802	-82
191802	-82
191803	-72
191803	-59
191803	-51
191803	-40
191803	-34
191803	-37
191803	-40
191803	-39
191803	-28
191803	-13
191803	-9
191803	-5
191803	6
191903	9
191903	8
191903	16
191903	20
191903	19
191903	19
191903	33
191903	50
191903	67
191903	72
191903	71
191903	71
191903	69
191903	75
191904	90
191904	99
191904	106
191904	119
191904	122
191904	115
191904	101
191904	92
191904	87
191905	89
191905	86
191905	81
191905	83
191905	91
191905	106
191906	116
191906	123
191906	128
191906	131
191906	122
191906	121
191906	124
191907	124
191907	120
191907	118
191907	116
191907	115
191907	112
191908	113
191908	114
191908	105
191908	92
191908	84
191908	70
191909	51
191909	34
191909	24
191909	19
191909	12
191909	8
192009	9
192009	8
192009	-1
192009	-9
192009	-22
192009	-27
192009	-27
192009	-23
192009	-19
192009	-18
192009	-23
192009	-34
192009	-35
192009	-22
192009	-11
192009	-19
192009	-35
192009	-45
192009	-55
192009	-60
192009	-53
192009	-39
192009	-38
192009	-49
192009	-56
192009	-54
192009	-50
192009	-54
192009	-56
192009	-42
192009	-19
192009	-1
192009	0
192009	-4
192009	2
192009	16
192009	25
192009	44
192009	55
192009	52
192009	44
192009	43
192009	57
192009	72
192009	72
192009	60
192009	51
192009	49
192009	55
192115	58
192115	64
192115	60
192115	57
192115	52
192115	42
192115	36
192115	36
192115	39
192115	37
192115	34
192115	35
192115	54
192115	72
192115	72
192115	64
192115	49
192115	37
192115	33
192115	38
192115	51
192115	55
192117	49
192117	35
192117	20
192117	13
192117	7
192118	0
192118	-1
192118	5
192118	11
192118	9
192118	1
192119	-7
192119	-3
192119	9
192119	10
192119	4
192119	-3
192120	-9
192120	-11
192120	-17
192120	-22
192120	-19
192121	-10
192121	-6
192121	-23
192121	-45
192121	-53
192122	-44
192122	-34
192122	-27
192122	-23
192122	-24
192122	-35
192123	-37
192123	-33
192123	-23
192123	-8
192223	3
192223	8
192224	17
192224	19
192224	16
192225	24
192225	38
192225	35
192225	24
192225	22
192225	28
192225	43
192225	57
192225	68
192225	70
192225	71
192225	74
192225	77
192225	82
192225	82
192225	75
192225	80
192225	87
192225	91
192226	91
192226	88
192226	75
192226	56
192226	44
192226	50
192226	65
192226	69
192226	60
192226	67
192226	90
192226	104
192226	91
192226	69
192226	60
192226	77
192226	91
192226	88
192226	75
192226	65
192226	55
192226	43
192226	29
192226	21
192227	20
192227	19
192227	10
192227	12
192227	29
192227	54
192327	72
192327	83
192327	89
192327	90
192327	88
192327	86
192327	80
192327	72
192327	65
192327	55
192327	49
192327	50
192327	59
192327	70
192327	73
192327	72
192327	67
192327	64
192327	57
192327	41
192327	18
192327	-3
192327	-18
192327	-27
192327	-36
192327	-41
192327	-50
192327	-55
192327	-58
192327	-69
192327	-76
192327	-71
192327	-54
192327	-26
192327	-8
192327	-18
192327	-44
192327	-57
192327	-46
192327	-36
192327	-33
192327	-30
192327	-22
192327	-9
192327	4
192327	7
192327	3
192327	8
192327	16
192327	12
192328	5
192328	-4
192428	-10
192428	-11
192428	-9
192428	-7
192428	1
192428	11
192428	10
192428	3
192428	4
192428	12
192428	26
192428	35
192428	33
192428	20
192428	5
192428	-8
192428	-9
192428	3
192428	22
192428	34
192428	33
192428	25
192429	22
192429	27
192429	26
192429	12
192429	0
192429	0
192429	7
192429	11
192429	13
192429	17
192429	22
192429	26
192429	23
192429	10
192429	4
192429	3
192429	3
192429	-5
192429	-12
192429	-11
192429	-14
192429	-26
192429	-29
192429	-26
192429	-29
192529	-36
192529	-35
192529	-26
192529	-24
192529	-33
192529	-49
192529	-57
192529	-54
192529	-42
192529	-35
192529	-33
192529	-36
192529	-45
192529	-44
192529	-36
192529	-30
192529	-39
192529	-51
192529	-70
192529	-89
192529	-89
192529	-76
192529	-71
192529	-71
192529	-71
192529	-67
192529	-67
192529	-65
192529	-55
192529	-50
192529	-43
192529	-28
192529	-19
192529	-18
192529	-13
192529	-6
192529	1
192529	3
192529	8
192529	20
192529	33
192529	48
192529	60
192529	64
192530	57
192530	59
192530	65
192530	67
192530	68
192530	71
192530	73
192530	76
192530	81
192530	89
192530	98
192530	103
192530	105
192530	105
192530	104
192630	103
192630	97
192630	90
192630	88
192630	91
192630	97
192630	101
192630	108
192630	114
192630	112
192630	105
192630	103
192630	96
192630	80
192630	67
192630	68
192630	74
192630	73
192630	59
192630	53
192631	55
192631	64
192631	59
192631	49
192631	35
192631	25
192631	22
192631	29
192631	44
192631	59
192631	64
192631	56
192631	41
192631	26
192631	27
192631	28
192631	24
192631	16
192631	11
192631	10
192631	5
192631	-3
192631	-11
192632	-11
192632	-1
192632	5
192632	-2
192632	-10
192632	-7
192632	-4
192632	-2
192632	1
192632	4
192632	2
192732	7
192732	24
192732	48
192732	55
192732	38
192732	24
192732	26
192732	55
192732	77
192732	74
192732	65
192732	74
192732	96
192732	108
192732	115
192732	116
192732	116
192732	113
192732	120
192732	135
192732	147
192732	147
192732	135
192732	120
192732	114
192732	115
192732	112
192732	100
192732	98
192732	98
192732	90
192732	88
192732	97
192732	118
192732	138
192732	145
192732	138
192732	134
192732	118
192733	106
192733	104
192733	101
192733	88
192733	73
192733	65
192733	57
192733	48
192733	50
192733	59
192833	53
192833	39
192833	39
192833	42
192833	44
192833	48
192833	53
192833	57
192833	54
192833	50
192833	40
192833	26
192833	20
192833	13
192833	3
192833	-7
192833	-12
192833	-24
192833	-28
192833	-26
192833	-29
192833	-43
192833	-59
192833	-77
192833	-81
192833	-68
192833	-56
192833	-49
192833	-37
192833	-25
192833	-13
192833	-9
192833	-14
192833	-26
192833	-22
192833	-6
192833	5
192833	4
192833	1
192833	6
192834	17
192834	26
192834	38
192834	51
192834	60
192935	58
192935	50
192935	44
192935	39
192935	37
192935	42
192935	54
192935	65
192935	65
192935	67
192935	70
192935	69
192935	67
192935	68
192935	69
192935	70
192935	73
192935	75
192935	83
192935	90
192935	96
192935	90
192935	75
192936	67
192936	80
192936	100
192936	109
192936	105
192936	87
192936	64
192936	45
192936	32
192936	24
192936	27
192936	39
192936	52
192936	53
192936	42
192936	34
192936	36
192936	52
192936	52
192936	44
192936	36
192936	27
192936	20
192936	20
192936	33
192936	41
192936	40
192936	34
192936	24
192936	16
192936	10
192936	8
192936	3
192936	-5
192936	-8
192936	-10
192936	-19
192936	-23
192936	-19
192937	-14
193037	-24
193037	-30
193037	-29
193037	-21
193037	-10
193037	-5
193037	-3
193037	-4
193037	1
193037	7
193037	12
193037	17
193037	19
193037	25
193037	48
193037	72
193037	89
193037	91
193037	83
193037	75
193037	73
193037	70
193037	69
193037	66
193037	60
193037	64
193037	59
193037	48
193037	38
193037	36
193037	40
193037	49
193037	58
193037	73
193037	81
193037	73
193037	61
193037	57
193037	59
193037	64
193038	50
193038	32
193038	27
193038	34
193038	32
193038	24
193038	25
193038	24
193038	25
193038	33
193138	41
193138	48
193138	55
193138	74
193139	88
193139	85
193139	84
193139	87
193139	92
193139	100
193140	101
193140	102
193140	104
193140	99
193140	90
193140	87
193141	84
193141	80
193141	81
193141	102
193141	135
193142	160
193142	154
193142	124
193142	125
193142	167
193142	226
193143	258
193143	250
193143	259
193143	288
193143	304
193144	324
193144	347
193144	374
193144	391
193144	373
193144	356
193145	337
193145	344
193145	363
193145	364
193145	352
193145	347
193146	354
193146	360
193146	372
193146	379
193146	376
193146	361
193147	343
193147	337
193147	338
193147	337
193248	328
193248	307
193248	275
193248	231
193248	195
193248	173
193248	162
193248	147
193248	122
193248	84
193248	40
193248	9
193248	-13
193248	-44
193248	-76
193248	-100
193248	-100
193248	-91
193248	-92
193248	-113
193248	-138
193248	-167
193248	-180
193248	-179
193248	-168
193248	-170
193248	-185
193248	-201
193248	-202
193248	-199
193248	-209
193248	-226
193248	-234
193248	-253
193248	-281
193248	-290
193248	-282
193248	-273
193248	-258
193248	-250
193248	-251
193248	-248
193248	-234
193248	-216
193248	-198
193248	-187
193248	-182
193248	-178
193248	-172
193248	-156
193248	-138
193248	-135
193248	-147
193248	-164
193348	-172
193348	-167
193348	-163
193348	-164
193348	-169
193348	-169
193348	-156
193348	-141
193348	-132
193348	-140
193348	-168
193348	-182
193348	-182
193348	-179
193348	-182
193348	-187
193348	-189
193348	-185
193348	-183
193348	-190
193348	-202
193348	-215
193348	-225
193348	-221
193348	-219
193348	-210
193348	-189
193348	-165
193348	-149
193348	-135
193348	-120
193348	-100
193348	-72
193348	-56
193348	-62
193348	-77
193348	-78
193348	-65
193348	-44
193348	-33
193348	-17
193348	8
193348	27
193348	41
193348	56
193348	80
193348	112
193348	140
193348	165
193348	176
193348	172
193348	171
193348	180
193348	181
193448	178
193448	165
193448	151
193448	152
193448	155
193448	149
193448	141
193448	137
193448	134
193448	131
193448	123
193448	121
193448	129
193448	125
193448	115
193448	102
193448	85
193448	60
193448	49
193448	52
193448	55
193448	51
193448	44
193448	27
193448	13
193448	6
193448	-6
193448	-23
193448	-37
193448	-40
193448	-35
193448	-36
193448	-41
193448	-42
193448	-41
193448	-42
193448	-44
193448	-42
193448	-35
193448	-30
193448	-36
193448	-44
193448	-51
193448	-46
193448	-36
193448	-23
193448	-23
193448	-24
193448	-21
193548	-12
193548	3
193548	21
193548	34
193549	26
193549	18
193549	20
193549	32
193549	44
193549	48
193550	40
193550	54
193550	86
193550	92
193550	81
193550	76
193551	97
193551	118
193551	125
193551	121
193551	119
193551	129
193552	140
193552	150
193552	160
193552	167
193552	171
193552	178
193552	189
193553	213
193553	231
193553	243
193553	247
193553	247
193553	257
193554	276
193554	290
193554	260
193554	220
193554	203
193554	196
193555	176
193555	149
193555	122
193555	98
193555	71
193555	49
193556	37
193556	25
193556	9
193556	-6
193556	-26
193556	-44
193557	-56
193657	-56
193657	-54
193657	-58
193657	-70
193657	-83
193657	-98
193657	-104
193657	-100
193657	-91
193657	-101
193657	-113
193657	-116
193657	-109
193657	-101
193657	-99
193657	-113
193657	-125
193657	-124
193658	-118
193658	-116
193658	-117
193658	-103
193658	-82
193659	-57
193659	-28
193659	0
193659	13
193659	16
193660	19
193660	25
193660	16
193660	4
193660	8
193660	25
193660	38
193660	40
193660	36
193660	33
193660	32
193660	35
193660	42
193660	51
193660	57
193660	60
193660	52
193660	41
193660	43
193660	56
193660	66
193660	69
193660	70
193660	64
193660	58
193660	56
193660	64
193660	77
193660	90
193660	91
193764	90
193764	98
193764	108
193764	119
193764	129
193764	129
193765	123
193765	119
193765	124
193765	125
193765	116
193766	100
193766	96
193766	91
193766	89
193766	97
193766	105
193767	112
193767	118
193767	129
193767	129
193767	119
193767	121
193768	132
193768	136
193768	136
193768	128
193768	106
193768	86
193769	70
193769	66
193769	68
193769	58
193769	35
193769	9
193770	-3
193770	-5
193770	0
193770	-6
193770	-27
193770	-38
193771	-34
193771	-34
193771	-49
193771	-66
193771	-85
193772	-103
193772	-104
193772	-98
193772	-81
193873	-65
193873	-53
193873	-44
193873	-37
193874	-26
193874	-21
193874	-22
193874	-13
193874	-7
193874	-7
193874	-13
193874	-24
193874	-34
193874	-35
193874	-33
193874	-33
193874	-27
193874	-13
193874	-3
193874	3
193874	13
193874	32
193874	41
193874	44
193874	50
193874	60
193875	75
193875	86
193875	84
193875	83
193875	92
193875	98
193875	104
193875	114
193875	131
193875	140
193875	152
193875	156
193875	147
193875	138
193875	140
193875	147
193875	149
193875	138
193875	119
193875	107
193875	106
193875	104
193875	108
193875	105
193875	84
193875	56
193875	44
193875	41
193875	25
193875	3
193875	-7
193875	-12
193875	-29
193975	-44
193975	-44
193975	-42
193975	-38
193975	-26
193975	-12
193975	-4
193975	-2
193975	-9
193975	-13
193975	-9
193975	-3
193975	-2
193976	-8
193976	-20
193976	-24
193976	-28
193976	-45
193976	-60
193977	-68
193977	-61
193977	-55
193977	-58
193977	-67
193977	-71
193978	-69
193978	-57
193978	-45
193978	-45
193978	-44
193978	-35
193979	-19
193979	-5
193979	0
193979	2
193979	10
193979	25
193980	35
193980	27
193980	21
193980	22
193980	34
193981	49
193981	51
193981	53
193981	65
193981	83
193981	103
193982	119
193982	122
193982	119
193982	113
193982	113
193982	116
194082	122
194082	129
194082	140
194082	147
194082	140
194082	139
194082	145
194082	141
194082	130
194082	113
194082	108
194082	117
194082	116
194082	97
194082	71
194082	65
194082	71
194082	65
194082	42
194082	23
194082	18
194082	13
194082	11
194082	5
194082	-5
194082	-12
194082	-7
194082	-4
194082	-6
194082	-10
194082	-18
194082	-23
194082	-27
194082	-29
194082	-33
194082	-38
194082	-53
194082	-60
194082	-58
194082	-62
194082	-67
194082	-65
194083	-56
194083	-50
194083	-50
194083	-51
194083	-34
194083	-4
194083	11
194083	13
194083	17
194083	20
194083	24
194188	29
194188	22
194188	9
194188	2
194189	10
194189	25
194189	37
194189	32
194189	22
194190	18
194190	13
194190	10
194190	7
194190	8
194191	23
194191	27
194191	19
194191	10
194191	28
194191	61
194192	85
194192	101
194192	104
194192	96
194192	97
194192	112
194193	130
194193	134
194193	136
194193	136
194193	132
194193	133
194194	134
194194	132
194194	121
194194	108
194194	104
194195	102
194195	103
194195	100
194195	89
194195	86
194195	88
194196	91
194196	102
194196	114
194196	121
194196	109
194196	89
194197	69
194197	51
194197	42
194197	44
194197	38
194297	9
194297	-18
194297	-24
194297	-22
194297	-27
194297	-38
194297	-52
194297	-62
194297	-66
194297	-60
194297	-57
194297	-60
194297	-75
194297	-81
194297	-75
194297	-72
194297	-71
194297	-75
194297	-75
194297	-70
194297	-61
194297	-56
194297	-54
194297	-51
194297	-38
194297	-19
194297	3
194297	12
194297	10
194297	18
194297	24
194297	29
194297	32
194297	32
194297	34
194297	36
194297	26
194297	22
194297	33
194298	33
194298	23
194298	27
194298	72
194298	82
194298	81
194298	73
194298	68
194298	61
194398	66
194398	70
194398	71
